Budget_Level,User_Age_Group,Destination,State,Category,Rating,Preferred_Activity,Season_Preference,Preferred_Travel_Type
High,26-35,Bangalore,Karnataka,Adventure,2.6,Trekking,Autumn,Couple
High,18-25,Darjeeling,West Bengal,Beach,3.5,Relaxation,Summer,Friends
Low,50+,Kolkata,West Bengal,Spiritual,1.9,Trekking,Autumn,Couple
High,36-50,Manali,Himachal Pradesh,Adventure,4.1,Trekking,Summer,Couple
Low,,Jaipur,Rajasthan,Spiritual,4.0,Trekking,Autumn,Friends
Medium,18-25,Goa,Goa,Heritage,2.3,Wildlife,Autumn,Friends
High,18-25,Ooty,Tamil Nadu,Hill Station,3.6,Wildlife,Autumn,Couple
High,50+,Chennai,Tamil Nadu,Hill Station,3.3,Trekking,Monsoon,Solo
High,36-50,Jaipur,Rajasthan,Urban,1.7,Pilgrimage,Winter,Group
High,18-25,Mysore,Karnataka,Beach,2.5,Pilgrimage,Monsoon,Couple
,26-35,Varanasi,Uttar Pradesh,Hill Station,5.0,Water Sports,Summer,Group
Medium,36-50,Delhi,Delhi,Hill Station,1.8,Trekking,Spring,Couple
High,18-25,Rishikesh,Uttarakhand,Urban,3.3,Sightseeing,Autumn,Solo
High,50+,Andaman,Andaman & Nicobar,Spiritual,4.5,Sightseeing,Summer,Couple
Low,50+,Sikkim,Sikkim,Beach,2.6,Wildlife,Monsoon,Couple
Medium,36-50,Kerala,Kerala,Urban,2.4,Pilgrimage,Winter,Group
Medium,26-35,Kolkata,West Bengal,Hill Station,4.6,Wildlife,Summer,Friends
Low,36-50,Jaipur,Rajasthan,Spiritual,2.6,Relaxation,Summer,Friends
High,50+,Chennai,Tamil Nadu,Hill Station,3.8,Sightseeing,Summer,Group
High,50+,Udaipur,Rajasthan,Spiritual,4.1,Sightseeing,Winter,Group
Medium,18-25,Manali,Himachal Pradesh,Urban,4.3,Wildlife,Spring,Solo
High,50+,Leh,Ladakh,Beach,5.0,Sightseeing,Spring,Solo
Low,50+,Sikkim,Sikkim,Spiritual,4.3,Relaxation,Spring,Group
Low,26-35,Hyderabad,Telangana,Urban,3.8,Pilgrimage,Spring,Couple
High,26-35,Chennai,Tamil Nadu,Spiritual,4.6,Wildlife,Autumn,Friends
Medium,50+,Udaipur,Rajasthan,Beach,4.7,Sightseeing,Spring,Friends
High,50+,Darjeeling,West Bengal,Spiritual,4.9,Wildlife,Spring,Family
Low,18-25,Goa,Goa,Spiritual,4.2,Water Sports,Winter,Family
Low,18-25,Agra,Uttar Pradesh,Adventure,2.2,Pilgrimage,Spring,Family
Medium,18-25,Varanasi,Uttar Pradesh,Spiritual,4.0,Sightseeing,Monsoon,Group
High,26-35,Udaipur,Rajasthan,Urban,1.8,Water Sports,Autumn,Friends
Medium,18-25,Varanasi,Uttar Pradesh,Urban,0.8,Sightseeing,Summer,Couple
Low,36-50,Delhi,Delhi,Spiritual,4.8,Trekking,Spring,Friends
Low,26-35,Sikkim,Sikkim,Spiritual,2.7,Trekking,Winter,Family
Low,26-35,Manali,Himachal Pradesh,Spiritual,4.0,Pilgrimage,Summer,Couple
Medium,18-25,Shimla,Himachal Pradesh,Hill Station,3.5,Pilgrimage,Winter,Couple
High,26-35,Bangalore,Karnataka,Urban,1.9,Trekking,Winter,Friends
High,36-50,Jaipur,Rajasthan,Heritage,3.5,Sightseeing,Monsoon,Family
Low,18-25,Udaipur,Rajasthan,Hill Station,3.8,Wildlife,Winter,Group
Medium,36-50,Bangalore,Karnataka,Heritage,4.6,Trekking,Winter,Friends
Low,26-35,Kerala,Kerala,Heritage,1.7,Trekking,Summer,Friends
Medium,36-50,Varanasi,Uttar Pradesh,Heritage,2.5,Sightseeing,Monsoon,Group
Medium,18-25,Goa,Goa,Adventure,3.9,Trekking,Autumn,Family
Low,36-50,Jaipur,Rajasthan,Adventure,1.6,Wildlife,Summer,Group
Medium,50+,Sikkim,Sikkim,Spiritual,2.2,Pilgrimage,Winter,Couple
Medium,50+,Mumbai,Maharashtra,Urban,2.3,Wildlife,Spring,Friends
Medium,50+,Mussoorie,Uttarakhand,Heritage,3.8,Sightseeing,Autumn,Family
High,26-35,Bangalore,Karnataka,Heritage,2.5,Pilgrimage,Monsoon,Group
High,18-25,Hyderabad,Telangana,Spiritual,3.6,Relaxation,Monsoon,Group
High,50+,Darjeeling,West Bengal,Heritage,4.9,Wildlife,Autumn,Group
High,36-50,Kerala,Kerala,Hill Station,4.3,Trekking,Autumn,Solo
Medium,50+,Sikkim,Sikkim,Beach,2.7,Relaxation,Monsoon,Solo
Medium,18-25,Leh,Ladakh,Heritage,3.2,Wildlife,Winter,Friends
Medium,26-35,Mussoorie,Uttarakhand,Heritage,2.2,Sightseeing,Winter,Family
Medium,26-35,Ooty,Tamil Nadu,Spiritual,1.6,Trekking,Winter,Friends
High,50+,Mussoorie,Uttarakhand,Heritage,2.5,Relaxation,Autumn,Group
Medium,36-50,Kolkata,West Bengal,Hill Station,2.8,Sightseeing,Winter,Couple
Low,36-50,Kolkata,West Bengal,Spiritual,3.5,Water Sports,Winter,Group
High,18-25,Shimla,Himachal Pradesh,Beach,4.8,Sightseeing,Spring,Group
Medium,50+,Ooty,Tamil Nadu,Urban,4.8,Water Sports,Summer,Friends
High,26-35,Darjeeling,West Bengal,Beach,1.7,Water Sports,Autumn,Group
High,36-50,Rishikesh,Uttarakhand,Spiritual,3.7,Trekking,Winter,Friends
